unicode,gardiner,translit,english
𓀀,A1,rꜥ,sun
𓀁,A2,s,man
𓀂,A3,ḥr,face
𓀃,A4,nfr,good
𓀄,A5,ꜥšꜣ,many
𓀅,A6,šms,servant
𓀆,A7,wr,great one
𓀎,A12,ꜥḥꜣ,warrior
𓀗,A17,ḫrd,child
𓀟,A28,kꜣj,high
𓀩,A40,nṯr,seated god
𓀭,A43,nsw,king seated
𓀲,A50,šps,noble
𓀸,A55,ꜣw,dead man
𓁐,B1,st,woman
𓁑,B2,ms,pregnant woman
𓁓,B7,ḥmt,wife
𓁕,B5,mwt,mother
𓁚,C1,nṯr,god
𓁛,C2,nṯrt,goddess
𓁜,C3,jmn,amon
𓁝,C4,rꜥ,ra
𓁞,C6,jnpw,anubis
𓁟,C10,mꜣꜥt,ma'at
𓁠,C11,ḥwt-ḥr,hathor
𓁡,C12,wsjr,osiris
𓁢,C17,stẖ,seth
𓁷,D1,ḥr,head
𓁹,D2,jr,eye
𓁿,D7,jrt,eye with makeup
𓂀,D10,wḏꜣt,eye of horus
𓂋,D21,r,mouth
𓂓,D28,kꜣ,soul
𓂧,D36,ḏ,hand
𓂝,D37,ꜥ,arm
𓂻,D54,jw,legs walking
𓂽,D56,rd,leg
𓂾,D58,b,foot
𓃀,D60,jb,heart
𓃒,E1,kꜣ,bull
𓃓,E2,ng,bull charging
𓃠,E9,mj,cat
𓃥,E13,jw,dog
𓃭,E17,sꜣb,jackal
𓃸,E23,ꜣbw,elephant
𓃻,E26,ḥꜣt,hippopotamus
𓄂,E34,wn,hare
𓃲,E20,rw,lion
𓄀,F1,tp,head of bull
𓄇,F12,wsr,strength
𓄓,F18,ꜣpd,bird
𓄙,F25,wḥm,leg
𓄛,F27,nm,skin
𓄝,F29,st,tail
𓄿,G1,ꜣ,vulture
𓅀,G2,ꜣꜣ,two vultures
𓅃,G5,ḥr,horus
𓅆,G7,bjk,falcon
𓅓,G17,m,owl
𓅜,G25,ꜣḫ,akh
𓅱,G43,w,quail
𓅬,G39,sꜣ,duck
𓅮,G40,gb,goose
𓆃,H1,mꜣ,feather
𓆄,H2,šw,wing
𓆇,H6,šwt,feather of ma'at
𓆅,H3,ꜥp,winged disk
𓆈,I1,ḫpr,scarab
𓆎,I9,f,viper
𓆑,I10,ḏt,cobra
𓆙,I13,sš,adder
𓆚,I14,ꜣm,snake
𓆤,L2,bjt,bee
𓆧,L6,ꜥꜣb,centipede
𓆡,K1,jn,fish
𓆢,K4,ꜥd,tilapia
𓆣,K5,šꜣ,catfish
𓆥,K6,bw,mullet
𓆦,L4,srr,grasshopper
𓆨,L7,sf,scorpion
𓇋,M17,j,reed
𓇍,M2,nḫt,tree
𓇗,M9,šn,lotus
𓇛,M11,ꜥš,papyrus
𓇟,M16,ḥꜣ,papyrus clump
𓇤,M23,sw,sedge
𓇥,M24,rš,plant
𓇯,N1,pt,sky
𓇳,N5,rꜥ,sun
𓇵,N8,jꜥḥ,moon
𓇼,N14,sba,star
𓇾,N2,tꜣ,earth
𓈖,N35,n,water
𓈋,N25,ḫꜣst,desert
𓈗,N36,mw,waterway
𓈙,N37,š,pool
𓈜,N41,ḥ,well
𓉐,O1,pr,house
𓉒,O6,ḥwt-nṯr,temple
𓉔,O11,ꜥḥ,palace
𓉘,O15,kꜣr,shrine
𓉢,O24,pr-ꜥꜣ,great house
𓉥,O29,ꜥꜣ,column
𓉩,O34,sꜣ,door bolt
𓊝,P1,dp,boat
𓊡,P3,wjꜣ,sacred bark
𓊢,P5,ꜥḥꜣ,sail
𓊦,P8,ꜥꜣw,oar
𓋏,Q1,wsr,throne
𓋐,Q3,st,seat
𓋓,Q7,tꜣ,brazier
𓋴,R1,s,health
𓋸,R8,šn,protection
𓋾,R11,ḏd,stability
𓋿,R13,jꜣt,office
𓌀,R15,ḥtp,offering
𓌃,R19,zp,scepter
𓋹,S34,ꜥnḫ,life
𓋺,S36,šw,feather
𓋻,S38,dšrt,red crown
𓋼,S39,ḥḏt,white crown
𓋽,S40,psḏt,double crown
𓌂,S45,nḫḫ,eternity
𓌅,S29,s,folded cloth
𓌇,S24,ṯꜣw,knot
𓌈,S25,md,belt
𓌪,T1,ḥḏ,mace
𓌫,T3,sšt,arrow
𓌝,T14,ꜣms,scepter
𓌐,T16,pḏ,bow
𓌔,T19,sḫm,harpoon
𓌗,T21,šnꜥ,net
𓌙,T24,ꜥẖ,knife
𓍯,U1,hb,plow
𓍱,U6,sn,sickle
𓍝,U13,šm,hoe
𓍾,U36,bꜣ,adze
𓍲,U7,mr,chisel
𓎍,U28,ḏꜣ,fire drill
𓎯,V1,ḥ,cord
𓎼,V28,ḥ,wick
𓎛,V20,mdw,ten
𓏏,X1,t,bread
𓎧,V6,šs,rope
𓎡,V31,k,basket
𓏎,W1,jnp,jar
𓏑,W9,nwb,gold
𓏒,X8,pꜣt,cake
𓏐,W3,ḥnqt,beer
𓏙,W22,ꜥbw,jug
𓏚,W24,nw,pot
𓏖,X4,šꜣ,loaf
𓏘,X6,tꜣ,bread roll
𓏛,X7,ꜣt,loaf variant
𓏞,Y3,sš,scribe
𓏛,Y1,mḏꜣt,book
𓏜,Y5,rḫ,knowledge
𓏝,Y6,sšm,papyrus roll
𓏤,Z1,1,one
𓏥,Z2,2,two
𓏦,Z3,3,three
𓏧,Z4,4,four
𓏨,Z7,w,twist
𓍑,Aa1,wḏꜣ,prosperity
𓍢,Aa5,ḫ,sieve
𓍹,Aa11,nsw,king
𓍺,Aa12,bjt,king of lower egypt
𓇓,Aa13,nsw,pharaoh
𓍿,Aa15,š,pool
𓎟,Aa28,nb,lord
𓎣,Aa30,ḫpš,strong arm
𓍮,Aa8,ꜣḫ,spirit
𓀇,U+13007,,
𓀈,U+13008,,
𓀉,U+13009,,
𓀊,U+1300A,,
𓀋,U+1300B,,
𓀌,U+1300C,,
𓀍,U+1300D,,
𓀏,U+1300F,,
𓀐,U+13010,,
𓀑,U+13011,,
𓀒,U+13012,,
𓀓,U+13013,,
𓀔,U+13014,,
𓀕,U+13015,,
𓀖,U+13016,,
𓀘,U+13018,,
𓀙,U+13019,,
𓀚,U+1301A,,
𓀛,U+1301B,,
𓀜,U+1301C,,
𓀝,U+1301D,,
𓀞,U+1301E,,
𓀠,U+13020,,
𓀡,U+13021,,
𓀢,U+13022,,
𓀣,U+13023,,
𓀤,U+13024,,
𓀥,U+13025,,
𓀦,U+13026,,
𓀧,U+13027,,
𓀨,U+13028,,
𓀪,U+1302A,,
𓀫,U+1302B,,
𓀬,U+1302C,,
𓀮,U+1302E,,
𓀯,U+1302F,,
𓀰,U+13030,,
𓀱,U+13031,,
𓀳,U+13033,,
𓀴,U+13034,,
𓀵,U+13035,,
𓀶,U+13036,,
𓀷,U+13037,,
𓀹,U+13039,,
𓀺,U+1303A,,
𓀻,U+1303B,,
𓀼,U+1303C,,
𓀽,U+1303D,,
𓀾,U+1303E,,
𓀿,U+1303F,,
𓁀,U+13040,,
𓁁,U+13041,,
𓁂,U+13042,,
𓁃,U+13043,,
𓁄,U+13044,,
𓁅,U+13045,,
𓁆,U+13046,,
𓁇,U+13047,,
𓁈,U+13048,,
𓁉,U+13049,,
𓁊,U+1304A,,
𓁋,U+1304B,,
𓁌,U+1304C,,
𓁍,U+1304D,,
𓁎,U+1304E,,
𓁏,U+1304F,,
𓁒,U+13052,,
𓁔,U+13054,,
𓁖,U+13056,,
𓁗,U+13057,,
𓁘,U+13058,,
𓁙,U+13059,,
𓁣,U+13063,,
𓁤,U+13064,,
𓁥,U+13065,,
𓁦,U+13066,,
𓁧,U+13067,,
𓁨,U+13068,,
𓁩,U+13069,,
𓁪,U+1306A,,
𓁫,U+1306B,,
𓁬,U+1306C,,
𓁭,U+1306D,,
𓁮,U+1306E,,
𓁯,U+1306F,,
𓁰,U+13070,,
𓁱,U+13071,,
𓁲,U+13072,,
𓁳,U+13073,,
𓁴,U+13074,,
𓁵,U+13075,,
𓁶,U+13076,,
𓁸,U+13078,,
𓁺,U+1307A,,
𓁻,U+1307B,,
𓁼,U+1307C,,
𓁽,U+1307D,,
𓁾,U+1307E,,
𓂁,U+13081,,
𓂂,U+13082,,
𓂃,U+13083,,
𓂄,U+13084,,
𓂅,U+13085,,
𓂆,U+13086,,
𓂇,U+13087,,
𓂈,U+13088,,
𓂉,U+13089,,
𓂊,U+1308A,,
𓂌,U+1308C,,
𓂍,U+1308D,,
𓂎,U+1308E,,
𓂏,U+1308F,,
𓂐,U+13090,,
𓂑,U+13091,,
𓂒,U+13092,,
𓂔,U+13094,,
𓂕,U+13095,,
𓂖,U+13096,,
𓂗,U+13097,,
𓂘,U+13098,,
𓂙,U+13099,,
𓂚,U+1309A,,
𓂛,U+1309B,,
𓂜,U+1309C,,
𓂞,U+1309E,,
𓂟,U+1309F,,
𓂠,U+130A0,,
𓂡,U+130A1,,
𓂢,U+130A2,,
𓂣,U+130A3,,
𓂤,U+130A4,,
𓂥,U+130A5,,
𓂦,U+130A6,,
𓂨,U+130A8,,
𓂩,U+130A9,,
𓂪,U+130AA,,
𓂫,U+130AB,,
𓂬,U+130AC,,
𓂭,U+130AD,,
𓂮,U+130AE,,
𓂯,U+130AF,,
𓂰,U+130B0,,
𓂱,U+130B1,,
𓂲,U+130B2,,
𓂳,U+130B3,,
𓂴,U+130B4,,
𓂵,U+130B5,,
𓂶,U+130B6,,
𓂷,U+130B7,,
𓂸,U+130B8,,
𓂹,U+130B9,,
𓂺,U+130BA,,
𓂼,U+130BC,,
𓂿,U+130BF,,
𓃁,U+130C1,,
𓃂,U+130C2,,
𓃃,U+130C3,,
𓃄,U+130C4,,
𓃅,U+130C5,,
𓃆,U+130C6,,
𓃇,U+130C7,,
𓃈,U+130C8,,
𓃉,U+130C9,,
𓃊,U+130CA,,
𓃋,U+130CB,,
𓃌,U+130CC,,
𓃍,U+130CD,,
𓃎,U+130CE,,
𓃏,U+130CF,,
𓃐,U+130D0,,
𓃑,U+130D1,,
𓃔,U+130D4,,
𓃕,U+130D5,,
𓃖,U+130D6,,
𓃗,U+130D7,,
𓃘,U+130D8,,
𓃙,U+130D9,,
𓃚,U+130DA,,
𓃛,U+130DB,,
𓃜,U+130DC,,
𓃝,U+130DD,,
𓃞,U+130DE,,
𓃟,U+130DF,,
𓃡,U+130E1,,
𓃢,U+130E2,,
𓃣,U+130E3,,
𓃤,U+130E4,,
𓃦,U+130E6,,
𓃧,U+130E7,,
𓃨,U+130E8,,
𓃩,U+130E9,,
𓃪,U+130EA,,
𓃫,U+130EB,,
𓃬,U+130EC,,
𓃮,U+130EE,,
𓃯,U+130EF,,
𓃰,U+130F0,,
𓃱,U+130F1,,
𓃳,U+130F3,,
𓃴,U+130F4,,
𓃵,U+130F5,,
𓃶,U+130F6,,
𓃷,U+130F7,,
𓃹,U+130F9,,
𓃺,U+130FA,,
𓃼,U+130FC,,
𓃽,U+130FD,,
𓃾,U+130FE,,
𓃿,U+130FF,,
𓄁,U+13101,,
𓄃,U+13103,,
𓄄,U+13104,,
𓄅,U+13105,,
𓄆,U+13106,,
𓄈,U+13108,,
𓄉,U+13109,,
𓄊,U+1310A,,
𓄋,U+1310B,,
𓄌,U+1310C,,
𓄍,U+1310D,,
𓄎,U+1310E,,
𓄏,U+1310F,,
𓄐,U+13110,,
𓄑,U+13111,,
𓄒,U+13112,,
𓄔,U+13114,,
𓄕,U+13115,,
𓄖,U+13116,,
𓄗,U+13117,,
𓄘,U+13118,,
𓄚,U+1311A,,
𓄜,U+1311C,,
𓄞,U+1311E,,
𓄟,U+1311F,,
𓄠,U+13120,,
𓄡,U+13121,,
𓄢,U+13122,,
𓄣,U+13123,,
𓄤,U+13124,,
𓄥,U+13125,,
𓄦,U+13126,,
𓄧,U+13127,,
𓄨,U+13128,,
𓄩,U+13129,,
𓄪,U+1312A,,
𓄫,U+1312B,,
𓄬,U+1312C,,
𓄭,U+1312D,,
𓄮,U+1312E,,
𓄯,U+1312F,,
𓄰,U+13130,,
𓄱,U+13131,,
𓄲,U+13132,,
𓄳,U+13133,,
𓄴,U+13134,,
𓄵,U+13135,,
𓄶,U+13136,,
𓄷,U+13137,,
𓄸,U+13138,,
𓄹,U+13139,,
𓄺,U+1313A,,
𓄻,U+1313B,,
𓄼,U+1313C,,
𓄽,U+1313D,,
